"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 18:51:51 GMT 2024","Mon Apr 29 18:51:57 GMT 2024","6126","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Mon Apr 29 18:51:51 GMT 2024","Mon Apr 29 18:52:01 GMT 2024","10171","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Mon Apr 29 18:51:57 GMT 2024","Mon Apr 29 18:52:02 GMT 2024","5524","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Mon Apr 29 18:51:51 GMT 2024","Mon Apr 29 18:52:01 GMT 2024","9822","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"failed","Mon Apr 29 18:51:57 GMT 2024","Mon Apr 29 18:52:10 GMT 2024","13413","","UI Login Tests","","LoginTest","UnCorrectLoginTestBug","Тест воспроизводищий дефект","При неккоректном логине ждем, что открыта страница дашборда"
"passed","Mon Apr 29 18:51:51 GMT 2024","Mon Apr 29 18:51:56 GMT 2024","5571","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Mon Apr 29 18:52:01 GMT 2024","Mon Apr 29 18:52:10 GMT 2024","8892","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
