"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","322","","API Project Tests","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 11:52:35 GMT 2024","Tue Apr 30 11:52:52 GMT 2024","17221","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Tue Apr 30 11:52:47 GMT 2024","Tue Apr 30 11:52:53 GMT 2024","5634","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","117","","API Project Tests","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
"passed","Tue Apr 30 11:52:37 GMT 2024","Tue Apr 30 11:52:52 GMT 2024","15000","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","118","","API Project Tests","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
"passed","Tue Apr 30 11:52:35 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","137","","API Project Tests","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 11:52:48 GMT 2024","Tue Apr 30 11:52:57 GMT 2024","9513","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","135","","API Project Tests","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:37 GMT 2024","123","","API Project Tests","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
"passed","Tue Apr 30 11:52:35 GMT 2024","Tue Apr 30 11:52:47 GMT 2024","12156","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 11:52:35 GMT 2024","Tue Apr 30 11:52:48 GMT 2024","13226","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Tue Apr 30 11:52:36 GMT 2024","Tue Apr 30 11:52:36 GMT 2024","127","","API Project Tests","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 11:52:35 GMT 2024","Tue Apr 30 11:52:35 GMT 2024","563","","API Project Tests","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
