"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 07:41:16 GMT 2024","Tue Apr 30 07:41:36 GMT 2024","19673","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"passed","Tue Apr 30 07:41:16 GMT 2024","Tue Apr 30 07:41:16 GMT 2024","125","","","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 07:41:15 GMT 2024","Tue Apr 30 07:41:16 GMT 2024","150","","","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
"passed","Tue Apr 30 07:41:14 GMT 2024","Tue Apr 30 07:41:31 GMT 2024","16712","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 07:41:14 GMT 2024","Tue Apr 30 07:41:30 GMT 2024","15248","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Tue Apr 30 07:41:15 GMT 2024","Tue Apr 30 07:41:15 GMT 2024","151","","","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 07:41:15 GMT 2024","Tue Apr 30 07:41:15 GMT 2024","128","","","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
"failed","Tue Apr 30 07:41:16 GMT 2024","Tue Apr 30 07:41:16 GMT 2024","153","","","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 07:41:31 GMT 2024","Tue Apr 30 07:41:35 GMT 2024","4097","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 07:41:30 GMT 2024","Tue Apr 30 07:41:39 GMT 2024","8938","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Tue Apr 30 07:41:16 GMT 2024","Tue Apr 30 07:41:16 GMT 2024","126","","","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
"passed","Tue Apr 30 07:41:14 GMT 2024","Tue Apr 30 07:41:34 GMT 2024","19739","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Tue Apr 30 07:41:15 GMT 2024","Tue Apr 30 07:41:15 GMT 2024","524","","","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
"passed","Tue Apr 30 07:41:16 GMT 2024","Tue Apr 30 07:41:16 GMT 2024","111","","","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
