"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","50","","API Project Tests","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","72","","API Project Tests","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","96","","API Project Tests","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
"passed","Tue Apr 30 11:36:53 GMT 2024","Tue Apr 30 11:36:57 GMT 2024","3918","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","57","","API Project Tests","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","80","","API Project Tests","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
"passed","Tue Apr 30 11:36:54 GMT 2024","Tue Apr 30 11:37:02 GMT 2024","8671","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"failed","Tue Apr 30 11:36:54 GMT 2024","Tue Apr 30 11:37:07 GMT 2024","13121","","UI Login Tests","","LoginTest","UnCorrectLoginTestBug","Тест воспроизводищий дефект","При неккоректном логине ждем, что открыта страница дашборда"
"passed","Tue Apr 30 11:36:46 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","513","","API Project Tests","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","242","","API Project Tests","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 11:36:46 GMT 2024","Tue Apr 30 11:36:53 GMT 2024","6582","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:47 GMT 2024","69","","API Project Tests","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
"passed","Tue Apr 30 11:36:47 GMT 2024","Tue Apr 30 11:36:54 GMT 2024","6303","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 11:36:46 GMT 2024","Tue Apr 30 11:36:56 GMT 2024","10074","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Tue Apr 30 11:36:46 GMT 2024","Tue Apr 30 11:36:54 GMT 2024","8325","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
