"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 13:03:38 GMT 2024","Mon Apr 29 13:03:48 GMT 2024","9389","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Mon Apr 29 13:03:38 GMT 2024","Mon Apr 29 13:03:45 GMT 2024","6320","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"failed","Mon Apr 29 13:03:38 GMT 2024","Mon Apr 29 13:03:54 GMT 2024","15652","","UI Login Tests","","LoginTest","UnCorrectLoginTestBug","Тест воспроизводищий дефект","При неккоректном логине ждем, что открыта страница дашборда"
"passed","Mon Apr 29 13:03:38 GMT 2024","Mon Apr 29 13:03:44 GMT 2024","5750","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
