"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 11:31:04 GMT 2024","Tue Apr 30 11:31:04 GMT 2024","53","","API Project Tests","","ApiTests","GetMissingProjectTest","Получение проекта с несуществующим CODE","Получение данных проекта по коду несуществующего проекта"
"passed","Tue Apr 30 11:31:03 GMT 2024","Tue Apr 30 11:31:03 GMT 2024","83","","API Project Tests","","ApiTests","GetProjectTest","Получение проекта по коду","Получение данных проекта по коду проекта"
"passed","Tue Apr 30 11:31:04 GMT 2024","Tue Apr 30 11:31:04 GMT 2024","78","","API Project Tests","","ApiTests","BadProjectCode","Создание проекта проверка поля CODE","Проверка, что поле CODE не может быть больше 10 символов"
"passed","Tue Apr 30 11:31:04 GMT 2024","Tue Apr 30 11:31:14 GMT 2024","10417","","UI Project Tests","","ProjectTest","RemoveProjectTest","Удаление проекта",""
"passed","Tue Apr 30 11:31:02 GMT 2024","Tue Apr 30 11:31:12 GMT 2024","9954","","UI Project Tests","","ProjectTest","AddProjectTest","Добавление проекта",""
"passed","Tue Apr 30 11:31:03 GMT 2024","Tue Apr 30 11:31:03 GMT 2024","91","","API Project Tests","","ApiTests","DeleteProject","Удаление проекта","Удаление проекта по коду проекта"
"passed","Tue Apr 30 11:31:10 GMT 2024","Tue Apr 30 11:31:14 GMT 2024","4263","","UI Login Tests","","LoginTest","CorrectLoginTest","Логин с передачей корректных параметров",""
"passed","Tue Apr 30 11:31:02 GMT 2024","Tue Apr 30 11:31:11 GMT 2024","8335","","UI ProfileSettings Tests","","ProfileTest","UploadAvatarTest","Изменение аватара профиля",""
"passed","Tue Apr 30 11:31:11 GMT 2024","Tue Apr 30 11:31:14 GMT 2024","3574","","UI Login Tests","","LoginTest","UnCorrectLoginTest","Логин с передачей некорректных параметров","Тест использование некорректных данных"
"passed","Tue Apr 30 11:31:04 GMT 2024","Tue Apr 30 11:31:04 GMT 2024","71","","API Project Tests","","ApiTests","RequiredFieldTest","Создание проекта проверка поля TITLE","Проверка, что поле TITLE должно быть обязательно заполнено"
"passed","Tue Apr 30 11:31:03 GMT 2024","Tue Apr 30 11:31:04 GMT 2024","245","","API Project Tests","","ApiTests","GetProjectFromJSON","Создание проекта из JSON","Создание проекта из JSON файла"
"passed","Tue Apr 30 11:31:02 GMT 2024","Tue Apr 30 11:31:10 GMT 2024","7712","","UI Project Tests","","ProjectTest","NegativeKeyInputCheck","Негативная проверка граничного значения поля key проекта",""
"passed","Tue Apr 30 11:31:03 GMT 2024","Tue Apr 30 11:31:03 GMT 2024","509","","API Project Tests","","ApiTests","CreateProject","Добавление проекта","Тест на создание проекта"
"passed","Tue Apr 30 11:31:03 GMT 2024","Tue Apr 30 11:31:03 GMT 2024","67","","API Project Tests","","ApiTests","GetAllProjectsTest","Получение всех проектов","Получение всех существующих проектов"
